City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,75.18,78,3,18.1,clear sky
1,Hobart,AU,-42.8794,147.3294,61.11,63,75,8.05,broken clouds
2,Syracuse,IT,37.0881,15.2792,53.89,63,0,3.58,clear sky
3,Kruisfontein,ZA,-34.0033,24.7314,61.83,86,41,2.35,scattered clouds
4,Yellowknife,CA,62.456,-114.3525,-8.59,81,75,11.5,broken clouds
5,Carnarvon,AU,-24.8667,113.6333,78.87,73,75,8.05,broken clouds
6,Vaini,TO,-21.2,-175.2,81.52,81,83,21.88,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,70.48,80,87,8.32,overcast clouds
8,Butaritari,KI,3.0707,172.7902,81.37,79,30,17.9,scattered clouds
9,Dovolnoye,RU,54.4958,79.6671,-22.54,100,44,5.03,scattered clouds
10,Busselton,AU,-33.65,115.3333,63.09,61,0,4.0,clear sky
11,Rikitea,PF,-23.1203,-134.9692,79.32,71,65,17.94,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,63.9,77,0,3.0,clear sky
13,Georgetown,MY,5.4112,100.3354,78.89,92,20,1.14,few clouds
14,Hihya,EG,30.6713,31.588,56.28,75,100,4.99,overcast clouds
15,Semnan,IR,35.5729,53.3971,48.04,29,0,4.61,clear sky
16,Wangqing,CN,43.3218,129.7634,11.14,95,100,1.48,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,49.62,71,75,29.93,broken clouds
18,Marion,US,39.7684,-86.1555,39.81,67,100,6.91,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,59.49,88,100,2.66,overcast clouds
20,Kapaa,US,22.0752,-159.319,80.19,67,2,3.0,clear sky
21,Horsham,GB,51.064,-0.3272,41.59,66,0,8.05,clear sky
22,Taoudenni,ML,22.6783,-3.9836,65.16,18,49,11.97,scattered clouds
23,Cape Town,ZA,-33.9258,18.4232,67.08,62,0,8.05,clear sky
24,Avarua,CK,-21.2078,-159.775,80.65,78,100,10.36,overcast clouds
25,Pisco,PE,-13.7,-76.2167,80.02,69,0,10.36,clear sky
26,Trapani,IT,37.8333,12.6667,52.9,63,0,3.71,clear sky
27,Hithadhoo,MV,-0.6,73.0833,81.27,71,100,6.96,overcast clouds
28,Cap Malheureux,MU,-19.9842,57.6142,77.49,78,0,6.13,clear sky
29,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,100,4.61,overcast clouds
30,Upernavik,GL,72.7868,-56.1549,-5.62,96,100,6.6,overcast clouds
31,Dikson,RU,73.5069,80.5464,8.13,90,100,26.98,overcast clouds
32,Lompoc,US,34.6391,-120.4579,87.21,25,0,6.91,clear sky
33,Kang,BW,-23.6752,22.7876,77.85,47,93,3.36,overcast clouds
34,Sao Filipe,CV,14.8961,-24.4956,78.22,54,100,6.73,overcast clouds
35,Sinnamary,GF,5.3833,-52.95,77.9,84,54,12.5,broken clouds
