City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,75.18,clear sky,-30.1811,-50.2056,Hotel Castelo
5,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
6,Vaini,TO,81.52,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Port Alfred,ZA,70.48,overcast clouds,-33.5906,26.891,The Halyards Hotel
8,Butaritari,KI,81.37,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
11,Rikitea,PF,79.32,broken clouds,-23.1203,-134.9692,People ThankYou
13,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
20,Kapaa,US,80.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Cape Town,ZA,67.08,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
24,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
25,Pisco,PE,80.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
27,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
29,Arraial Do Cabo,BR,71.46,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
32,Lompoc,US,87.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
33,Kang,BW,77.85,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
34,Sao Filipe,CV,78.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
35,Sinnamary,GF,77.9,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
38,Sao Gabriel Da Cachoeira,BR,83.16,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
40,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
44,Houma,US,70.0,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
47,Niltepec,MX,87.66,scattered clouds,16.5667,-94.6167,Hotel Palma Real
48,Sainte-Marie,RE,75.36,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
49,Makakilo City,US,78.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Blantyre,MW,66.25,overcast clouds,-15.785,35.0085,Home Up Guest House
53,Santa Barbara,US,80.42,clear sky,34.7333,-120.0343,Upper Ballard Campground
56,Kudahuvadhoo,MV,81.1,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
65,Vila Velha,BR,76.95,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
66,Guerrero Negro,MX,75.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
67,Del Rio,US,71.82,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
70,Khartoum,SD,74.01,clear sky,15.5518,32.5324,Hotel China
71,Niquelandia,BR,69.4,overcast clouds,-14.4739,-48.4597,Hotel Suinã
72,Parrita,CR,89.06,scattered clouds,9.5201,-84.3225,Beso del Viento
75,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
76,San Patricio,US,72.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
77,Castro,BR,73.67,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
78,Lapa,BR,76.37,scattered clouds,-25.7697,-49.7158,Pousada Solar da Lapa
80,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Iquitos,PE,87.85,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
83,Lorengau,PG,80.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
85,Port Elizabeth,ZA,65.89,scattered clouds,-33.918,25.5701,39 On Nile Guest House
93,Wake Forest,US,66.43,clear sky,35.9799,-78.5097,Hampton Inn Raleigh/Town Of Wake Forest
94,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
101,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
107,Bucerias,MX,79.83,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
108,Hilo,US,77.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
111,Finschhafen,PG,78.84,moderate rain,-6.6024,147.8681,Cossam Guest House
113,Tigre,AR,88.29,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
114,Moron,AR,88.02,clear sky,-34.6534,-58.6198,Hotel Morón
115,Vao,NC,81.05,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
116,Taltal,CL,67.82,few clouds,-25.4,-70.4833,Residencial Karime
117,Ca Mau,VN,76.75,light rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
118,Tual,ID,80.33,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
119,Buenaventura,CO,79.09,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
120,Eureka,US,81.12,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
135,Kampot,KH,77.7,overcast clouds,10.6167,104.1833,Two Moons Hotel
136,Kavieng,PG,80.76,moderate rain,-2.5744,150.7967,Nusa Island Retreat
137,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
141,Wukari,NG,80.33,broken clouds,7.85,9.7833,Elimtop
142,Los Arabos,CU,75.67,overcast clouds,22.7281,-80.7214,Motel Los Pinos
147,Sambava,MG,75.56,light rain,-14.2667,50.1667,Melrose
148,Bubaque,GW,79.05,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
151,Homun,MX,80.56,broken clouds,20.7333,-89.2833,"Restaurant Y Hotel ""Santa Maria"""
155,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
157,Te Anau,NZ,65.68,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
158,Cananeia,BR,77.56,few clouds,-25.0147,-47.9267,Pousada Ancoradouro
161,Aracati,BR,82.08,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
164,Ampanihy,MG,73.58,scattered clouds,-24.7,44.75,Angora Hotel
165,Terenos,BR,87.51,scattered clouds,-20.4422,-54.8603,Rancho Pitzer
169,Teluk Nibung,ID,73.92,overcast clouds,3.001,99.8164,Hotel Assyifa
171,East London,ZA,70.97,clear sky,-33.0153,27.9116,Tu Casa
173,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
174,Atuona,PF,78.57,clear sky,-9.8,-139.0333,Villa Enata
175,Acapulco,MX,82.27,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
177,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
180,Itarema,BR,80.83,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
183,Constitucion,CL,65.05,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
185,Padang,ID,77.02,moderate rain,-0.9492,100.3543,Mercure Padang
186,Axim,GH,79.18,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
190,Port-Gentil,GA,81.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
195,Copiapo,CL,77.77,clear sky,-27.3667,-70.3333,San Francisco de La Selva
196,Pamekasan,ID,75.45,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
202,Kawalu,ID,73.13,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
203,Bengkulu,ID,74.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
204,Pemangkat,ID,75.74,light rain,1.1667,108.9667,Ramah Kost KITA
205,Bhadrak,IN,68.34,clear sky,21.0633,86.5054,Hotel bluevine
206,Kongoussi,BF,78.71,clear sky,13.3258,-1.5347,Hôtel La Sagesse
207,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
211,San Buenaventura,MX,71.47,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
212,Penha,BR,81.55,few clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
215,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
216,San Vito,CR,72.43,broken clouds,8.8208,-82.9709,Cascata Del Bosco Hotel and Restaurant
218,Ojinaga,MX,71.56,clear sky,29.5667,-104.4167,Suites Las Palmas
220,Iralaya,HN,78.89,clear sky,15.0,-83.2333,Iglesia morava renovada
221,Salina Cruz,MX,86.49,clear sky,16.1667,-95.2,Amerik HOTEL
222,Guiglo,CI,77.81,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
223,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,Saint George,US,68.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
228,Chuy,UY,74.77,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
229,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
231,Fortuna,US,80.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
232,Iguai,BR,77.02,clear sky,-14.7564,-40.0892,CadHotel
235,Namatanai,PG,79.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
237,Bandarbeyla,SO,73.76,few clouds,9.4942,50.8122,JABIR HOTEL
239,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
243,Key Biscayne,US,78.03,scattered clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
245,Half Moon Bay,US,79.5,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
249,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
250,Esperance,AU,73.72,few clouds,-33.8667,121.9,Hospitality Esperance
253,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
254,Port Macquarie,AU,66.88,light rain,-31.4333,152.9167,Rydges Port Macquarie
255,Palmas,BR,76.57,overcast clouds,-10.2128,-48.3603,Hotel Lago da Palma
