City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mao,39.8885,4.2658,55.96,76,75,4.61,ES,2022-02-10 16:24:11
1,Butaritari,3.0707,172.7902,81.18,79,33,16.93,KI,2022-02-10 16:23:09
2,Caravelas,-17.7125,-39.2481,86.9,55,30,11.14,BR,2022-02-10 16:25:59
3,Mataura,-46.1927,168.8643,59.49,98,56,1.74,NZ,2022-02-10 16:23:09
4,Honningsvag,70.9821,25.9704,18.93,72,50,14.9,NO,2022-02-10 16:25:59
5,Ushuaia,-54.8,-68.3,49.62,81,75,28.77,AR,2022-02-10 16:18:46
6,Carnarvon,-24.8667,113.6333,78.87,78,38,8.05,AU,2022-02-10 16:26:00
7,Bredasdorp,-34.5322,20.0403,70.92,56,0,14.97,ZA,2022-02-10 16:23:18
8,College,64.8569,-147.8028,-8.77,77,100,0.0,US,2022-02-10 16:26:00
9,Turukhansk,65.8167,87.9833,-23.1,98,24,4.76,RU,2022-02-10 16:26:00
10,Sisimiut,66.9395,-53.6735,-1.64,82,100,6.15,GL,2022-02-10 16:26:01
11,Doraha,30.8167,76.0167,50.23,65,0,7.29,IN,2022-02-10 16:26:01
12,Ostersund,63.1792,14.6357,28.85,80,20,17.27,SE,2022-02-10 16:26:01
13,Nikolskoye,59.7035,30.7861,36.88,91,94,10.2,RU,2022-02-10 16:23:12
14,Alice Springs,-23.7,133.8833,67.55,73,0,0.0,AU,2022-02-10 16:23:53
15,Bluff,-46.6,168.3333,59.81,89,95,14.05,NZ,2022-02-10 16:23:14
16,Port Elizabeth,-33.918,25.5701,71.89,78,75,13.8,ZA,2022-02-10 16:23:14
17,Atuona,-9.8,-139.0333,77.05,81,16,15.88,PF,2022-02-10 16:19:02
18,Lampazos De Naranjo,27.0167,-100.5167,60.85,52,76,1.07,MX,2022-02-10 16:26:02
19,Karratha,-20.7377,116.8463,84.7,73,7,9.62,AU,2022-02-10 16:23:36
20,Mahebourg,-20.4081,57.7,79.25,83,40,3.44,MU,2022-02-10 16:26:02
21,Provideniya,64.3833,-173.3,-19.43,91,43,3.53,RU,2022-02-10 16:26:03
22,Taber,49.8167,-112.1518,52.0,43,79,25.32,CA,2022-02-10 16:26:03
23,Upernavik,72.7868,-56.1549,-7.6,91,100,5.44,GL,2022-02-10 16:21:42
24,Payyannur,12.1,75.2,75.43,82,63,7.0,IN,2022-02-10 16:26:03
25,Clyde River,70.4692,-68.5914,-18.17,76,100,6.91,CA,2022-02-10 16:24:50
26,Arraial Do Cabo,-22.9661,-42.0278,75.16,78,100,4.61,BR,2022-02-10 16:23:00
27,Bongandanga,1.5,21.05,94.28,19,66,3.69,CD,2022-02-10 16:26:04
28,Vaini,-21.2,-175.2,78.96,94,75,10.36,TO,2022-02-10 16:26:04
29,Puerto Ayora,-0.7393,-90.3518,82.36,82,89,5.99,EC,2022-02-10 16:26:05
30,Zavetnoye,47.1194,43.8903,34.7,81,100,12.24,RU,2022-02-10 16:26:05
31,Albany,42.6001,-73.9662,44.1,76,97,1.99,US,2022-02-10 16:22:14
32,Busselton,-33.65,115.3333,70.09,77,5,9.44,AU,2022-02-10 16:26:05
33,Riyadh,24.6877,46.7219,71.74,20,0,14.23,SA,2022-02-10 16:26:06
34,Cayenne,4.9333,-52.3333,81.09,81,100,4.61,GF,2022-02-10 16:26:06
35,Lethem,3.3803,-59.7968,94.35,37,100,10.2,GY,2022-02-10 16:26:06
36,Punta Arenas,-53.15,-70.9167,50.02,61,40,29.93,CL,2022-02-10 16:26:06
37,Tuktoyaktuk,69.4541,-133.0374,-14.8,70,100,5.75,CA,2022-02-10 16:26:07
38,Rikitea,-23.1203,-134.9692,78.67,71,20,17.25,PF,2022-02-10 16:23:12
39,Bubaque,11.2833,-15.8333,79.74,65,2,12.73,GW,2022-02-10 16:26:07
40,Pali,25.7667,73.3333,64.54,29,0,7.11,IN,2022-02-10 16:26:07
41,Calatayud,41.3535,-1.6432,57.78,34,43,0.58,ES,2022-02-10 16:26:08
42,Yellowknife,62.456,-114.3525,-9.58,76,75,18.01,CA,2022-02-10 16:21:14
43,Khatanga,71.9667,102.5,1.2,92,100,15.32,RU,2022-02-10 16:26:08
44,Esperance,-33.8667,121.9,73.24,56,73,23.64,AU,2022-02-10 16:26:08
45,Sekoma,-24.4,23.8833,87.42,29,82,8.9,BW,2022-02-10 16:26:09
46,Paamiut,61.994,-49.6678,16.56,73,100,8.19,GL,2022-02-10 16:26:09
47,Kipini,-2.5257,40.5262,80.89,83,37,16.64,KE,2022-02-10 16:26:09
48,Sobolevo,54.4299,31.8996,33.08,81,100,12.75,RU,2022-02-10 16:26:10
49,Avarua,-21.2078,-159.775,71.65,100,100,2.3,CK,2022-02-10 16:27:10
50,Barrow,71.2906,-156.7887,-23.78,76,0,5.75,US,2022-02-10 16:18:18
51,Broken Hill,-31.95,141.4333,68.83,34,0,18.45,AU,2022-02-10 16:23:29
52,Kununurra,-15.7667,128.7333,78.78,94,66,1.14,AU,2022-02-10 16:22:37
53,Ati,13.2154,18.3353,84.78,8,0,10.22,TD,2022-02-10 16:27:11
54,Apiai,-24.5094,-48.8425,78.85,43,19,5.73,BR,2022-02-10 16:27:11
55,Torbay,47.6666,-52.7314,39.49,75,20,6.91,CA,2022-02-10 16:27:11
56,Oro Valley,32.3909,-110.9665,64.4,24,0,4.0,US,2022-02-10 16:27:11
57,Jega,12.2175,4.3792,96.39,6,35,13.29,NG,2022-02-10 16:27:12
58,Puerto Escondido,15.85,-97.0667,85.03,70,0,4.61,MX,2022-02-10 16:27:12
59,Ilulissat,69.2167,-51.1,-18.85,93,49,6.26,GL,2022-02-10 16:27:12
60,Darlowo,54.421,16.4107,42.94,90,100,12.41,PL,2022-02-10 16:27:13
61,Korla,41.7597,86.1469,28.69,47,91,2.06,CN,2022-02-10 16:27:13
62,Saint-Augustin,51.226,-58.6502,22.53,88,100,5.61,CA,2022-02-10 16:27:13
63,Seydi,39.4816,62.9137,54.23,33,2,7.85,TM,2022-02-10 16:27:13
